number,depart,origin,arrive,destination,type,capacity
 DL2313 ,1/6/20 7:00,LAX,1/6/20 8:35,SFO,Boeing 737-800,160
 DL1806 ,1/6/20 9:05,LAX,1/6/20 10:38,SFO,Airbus A319,
 DL1327 ,1/6/20 12:58,LAX,1/6/20 14:27,SFO,Airbus A319,
 DL2757 ,1/6/20 15:18,LAX,1/6/20 16:44,SFO,Airbus A320,157
 DL2803 ,1/6/20 17:50,LAX,1/6/20 19:14,SFO,Airbus A320,157
 DL2226 ,1/6/20 19:42,LAX,1/6/20 21:14,SFO,Boeing 737-900ER,180
 DL1332 ,1/6/20 21:16,LAX,1/6/20 22:45,SFO,Boeing 737-900ER,180
 DL1587 ,1/6/20 6:00,LAX,1/6/20 9:00,SEA,Boeing 737-800,160
 DL1287 ,1/6/20 7:50,LAX,1/6/20 10:45,SEA,Boeing 737-800,160
 DL2540 ,1/6/20 9:15,LAX,1/6/20 12:12,SEA,Boeing 737-800,160
 DL0129 ,1/6/20 11:55,LAX,1/6/20 14:50,SEA,Boeing 737-900ER,180
 DL0990 ,1/6/20 15:15,LAX,1/6/20 18:10,SEA,Boeing 737-900ER,180
 DL2731 ,1/6/20 17:00,LAX,1/6/20 19:52,SEA,Boeing 737-800,160
 DL1836 ,1/6/20 19:19,LAX,1/6/20 22:10,SEA,Boeing 737-900ER,180
 DL2388 ,1/6/20 20:55,LAX,1/6/20 23:47,SEA,Boeing 737-800,160
 DL1228 ,1/6/20 7:59,LAX,1/6/20 11:22,DEN,Airbus A319,
 DL0653 ,1/6/20 14:30,LAX,1/6/20 17:45,DEN,Airbus A319,
 DL1443 ,1/6/20 19:59,LAX,1/6/20 23:15,DEN,Airbus A320,157
 DL1008 ,1/6/20 6:15,LAX,1/6/20 13:26,ATL,Boeing 757,199
 DL0284 ,1/6/20 7:45,LAX,1/6/20 14:46,ATL,Boeing 777-200LR,288
 DL1954 ,1/6/20 8:45,LAX,1/6/20 15:58,ATL,Boeing 757-300,234
 DL1530 ,1/6/20 10:30,LAX,1/6/20 17:40,ATL,Airbus A321,192
 DL1110 ,1/6/20 12:01,LAX,1/6/20 19:16,ATL,Airbus A321,192
 DL1449 ,1/6/20 14:20,LAX,1/6/20 21:34,ATL,Airbus A321,192
 DL1125 ,1/6/20 15:30,LAX,1/6/20 22:38,ATL,Boeing 757,199
 DL1901 ,1/6/20 16:53,LAX,1/6/20 23:59,ATL,Airbus A321,192
 DL1526 ,1/6/20 8:00,LAX,1/6/20 16:26,BOS,Boeing 757-200,168
 DL1436 ,1/6/20 6:05,LAX,1/6/20 14:23,JFK,Boeing 767-300,226
 DL1258 ,1/6/20 7:55,LAX,1/6/20 16:12,JFK,Boeing 767-300,226
 DL2164 ,1/6/20 9:25,LAX,1/6/20 17:50,JFK,Boeing 767-300,226
 DL2787 ,1/6/20 11:25,LAX,1/6/20 19:54,JFK,Boeing 767-300,226
 DL0468 ,1/6/20 12:40,LAX,1/6/20 21:02,JFK,Boeing 767-300,226
 DL2262 ,1/6/20 14:15,LAX,1/6/20 22:31,JFK,Boeing 767-300,226
 DL2703 ,1/6/20 6:20,SFO,1/6/20 8:40,SEA,Airbus A220-100,109
 DL2490 ,1/6/20 10:37,SFO,1/6/20 12:58,SEA,Airbus A220-100,109
 DL2429 ,1/6/20 12:26,SFO,1/6/20 14:38,SEA,Airbus A319,
 DL2002 ,1/6/20 16:52,SFO,1/6/20 19:09,SEA,Airbus A220-100,109
 DL2984 ,1/6/20 18:09,SFO,1/6/20 20:23,SEA,Airbus A319,
 DL1832 ,1/6/20 20:04,SFO,1/6/20 22:22,SEA,Boeing 737-800,160
 DL1210 ,1/6/20 6:00,SFO,1/6/20 13:32,ATL,Boeing 737-900ER,180
 DL1865 ,1/6/20 7:15,SFO,1/6/20 14:45,ATL,Boeing 757,199
 DL0505 ,1/6/20 9:10,SFO,1/6/20 16:43,ATL,Boeing 737-900ER,180
 DL2049 ,1/6/20 11:52,SFO,1/6/20 19:32,ATL,Boeing 757-300,234
 DL3040 ,1/6/20 12:55,SFO,1/6/20 20:36,ATL,Boeing 737-900ER,180
 DL2381 ,1/6/20 15:09,SFO,1/6/20 22:41,ATL,Boeing 737-900ER,180
 DL2488 ,1/6/20 12:50,SFO,1/6/20 21:24,BOS,Boeing 757,199
 DL0868 ,1/6/20 6:15,SFO,1/6/20 14:42,JFK,Boeing 757-200,168
 DL1859 ,1/6/20 8:30,SFO,1/6/20 16:52,JFK,Boeing 757-200,168
 DL0757 ,1/6/20 11:41,SFO,1/6/20 20:19,JFK,Boeing 757-200,168
 DL0592 ,1/6/20 13:17,SFO,1/6/20 21:46,JFK,Boeing 757-200,168
 DL0747 ,1/6/20 8:00,PHX,1/6/20 10:17,SEA,Boeing 737-800,160
 DL1190 ,1/6/20 12:20,PHX,1/6/20 14:29,SEA,Boeing 737-800,160
 DL1262 ,1/6/20 15:45,PHX,1/6/20 17:59,SEA,Boeing 737-800,160
 DL1562 ,1/6/20 19:49,PHX,1/6/20 22:07,SEA,Boeing 737-800,160
 DL2966 ,1/6/20 6:00,PHX,1/6/20 11:27,ATL,Airbus A321,192
 DL1001 ,1/6/20 7:05,PHX,1/6/20 12:32,ATL,Airbus A321,192
 DL2354 ,1/6/20 10:15,PHX,1/6/20 15:45,ATL,Airbus A321,192
 DL2365 ,1/6/20 13:20,PHX,1/6/20 18:51,ATL,Airbus A321,192
 DL1041 ,1/6/20 14:35,PHX,1/6/20 20:06,ATL,Airbus A321,192
 DL2271 ,1/6/20 17:21,PHX,1/6/20 22:49,ATL,Airbus A321,192
 DL0819 ,1/6/20 6:10,PHX,1/6/20 12:46,JFK,Boeing 737-900ER,180
 DL2688 ,1/6/20 12:58,PHX,1/6/20 19:42,JFK,Boeing 737-900ER,180
 DL1653 ,1/6/20 7:47,SEA,1/6/20 11:30,DEN,Airbus A319,
 DL2764 ,1/6/20 10:00,SEA,1/6/20 13:43,DEN,Airbus A319,
 DL2527 ,1/6/20 15:34,SEA,1/6/20 19:14,DEN,Airbus A319,
 DL2985 ,1/6/20 19:25,SEA,1/6/20 23:03,DEN,Boeing 737-800,160
 DL1044 ,1/6/20 6:15,SEA,1/6/20 14:00,ATL,Boeing 757-200,193
 DL1719 ,1/6/20 8:11,SEA,1/6/20 15:59,ATL,Boeing 757-200,193
 DL1870 ,1/6/20 9:45,SEA,1/6/20 17:31,ATL,Boeing 767-300,208
 DL2922 ,1/6/20 11:33,SEA,1/6/20 19:13,ATL,Boeing 757,199
 DL0436 ,1/6/20 13:58,SEA,1/6/20 21:39,ATL,Boeing 737-900ER,180
 DL3078 ,1/6/20 7:00,SEA,1/6/20 13:06,ORD,Airbus A319,
 DL0879 ,1/6/20 11:19,SEA,1/6/20 17:22,ORD,Airbus A319,
 DL0890 ,1/6/20 17:51,SEA,1/6/20 23:52,ORD,Airbus A319,
 DL1163 ,1/6/20 10:55,SEA,1/6/20 19:15,BOS,Boeing 737-800,160
 DL2220 ,1/6/20 7:59,SEA,1/6/20 15:56,IAD,Airbus A319,
 DL1467 ,1/6/20 7:45,SEA,1/6/20 15:57,JFK,Boeing 757,168
 DL0182 ,1/6/20 11:40,SEA,1/6/20 20:01,JFK,Boeing 757-200,168
 DL2608 ,1/6/20 6:00,DEN,1/6/20 10:58,ATL,Boeing 737-900ER,180
 DL0920 ,1/6/20 7:05,DEN,1/6/20 11:59,ATL,Boeing 737-800,160
 DL1816 ,1/6/20 10:40,DEN,1/6/20 15:26,ATL,Boeing 737-900ER,180
 DL1547 ,1/6/20 12:19,DEN,1/6/20 17:06,ATL,Boeing 757,199
 DL2590 ,1/6/20 14:15,DEN,1/6/20 19:06,ATL,Boeing 737-900ER,180
 DL1355 ,1/6/20 15:36,DEN,1/6/20 20:30,ATL,Boeing 737-900ER,180
 DL3063 ,1/6/20 18:02,DEN,1/6/20 23:01,ATL,Boeing 737-900ER,180
 DL2543 ,1/6/20 6:06,DEN,1/6/20 12:00,JFK,Boeing 737-900ER,180
 DL1202 ,1/6/20 11:05,DEN,1/6/20 16:46,JFK,Boeing 737-900ER,180
 DL2012 ,1/6/20 7:25,ATL,1/6/20 8:35,ORD,MD-88,149
 DL2183 ,1/6/20 8:45,ATL,1/6/20 9:48,ORD,Boeing 717-200,110
 DL0972 ,1/6/20 10:07,ATL,1/6/20 11:19,ORD,MD-90,158
 DL0812 ,1/6/20 11:18,ATL,1/6/20 12:25,ORD,MD-88,149
 DL0446 ,1/6/20 13:45,ATL,1/6/20 14:52,ORD,Boeing 717-200,110
 DL1612 ,1/6/20 15:05,ATL,1/6/20 16:11,ORD,MD-88,149
 DL1906 ,1/6/20 16:10,ATL,1/6/20 17:20,ORD,MD-88,149
 DL0805 ,1/6/20 17:54,ATL,1/6/20 19:08,ORD,Boeing 717-200,110
 DL2617 ,1/6/20 19:24,ATL,1/6/20 20:34,ORD,Boeing 717-200,110
 DL1958 ,1/6/20 20:43,ATL,1/6/20 21:50,ORD,Boeing 717-200,110
 DL2357 ,1/6/20 22:42,ATL,1/6/20 23:37,ORD,Airbus A321,192
 DL1681 ,1/6/20 6:00,ATL,1/6/20 8:27,BOS,Airbus A321,192
 DL2647 ,1/6/20 7:30,ATL,1/6/20 10:02,BOS,Airbus A321,192
 DL2796 ,1/6/20 8:55,ATL,1/6/20 11:22,BOS,Airbus A321,192
 DL2102 ,1/6/20 10:28,ATL,1/6/20 13:00,BOS,Airbus A321,192
 DL2792 ,1/6/20 12:25,ATL,1/6/20 14:54,BOS,Airbus A321,192
 DL2977 ,1/6/20 13:45,ATL,1/6/20 16:16,BOS,Boeing 757,199
 DL1274 ,1/6/20 15:08,ATL,1/6/20 17:44,BOS,Airbus A321,192
 DL1800 ,1/6/20 16:43,ATL,1/6/20 19:15,BOS,Airbus A321,192
 DL0122 ,1/6/20 18:00,ATL,1/6/20 20:35,BOS,Airbus A321,192
 DL2100 ,1/6/20 19:57,ATL,1/6/20 22:30,BOS,Boeing 757,199
 DL1200 ,1/6/20 21:10,ATL,1/6/20 23:39,BOS,Airbus A321,192
 DL2578 ,1/6/20 7:33,ATL,1/6/20 9:15,IAD,Boeing 717-200,110
 DL0340 ,1/6/20 9:50,ATL,1/6/20 11:31,IAD,MD-88,149
 DL1317 ,1/6/20 12:59,ATL,1/6/20 14:39,IAD,Boeing 717-200,110
 DL1359 ,1/6/20 15:25,ATL,1/6/20 17:06,IAD,Boeing 717-200,110
 DL1442 ,1/6/20 17:26,ATL,1/6/20 19:07,IAD,Boeing 717-200,110
 DL1839 ,1/6/20 20:15,ATL,1/6/20 21:58,IAD,Boeing 737-700,124
 DL8796 ,1/6/20 7:25,ATL,1/6/20 9:35,JFK,Boeing 757,199
 DL2350 ,1/6/20 8:20,ATL,1/6/20 10:30,JFK,Boeing 737-900ER,180
 DL0843 ,1/6/20 10:32,ATL,1/6/20 12:43,JFK,Boeing 737-900ER,180
 DL8800 ,1/6/20 12:05,ATL,1/6/20 14:15,JFK,Boeing 767-300,226
 DL1900 ,1/6/20 13:40,ATL,1/6/20 15:52,JFK,Airbus A319,132
 DL1869 ,1/6/20 15:20,ATL,1/6/20 17:39,JFK,Airbus A321,192
 DL0244 ,1/6/20 16:45,ATL,1/6/20 19:00,JFK,Boeing 777-200LR,288
 DL0214 ,1/6/20 19:28,ATL,1/6/20 21:45,JFK,Airbus A320,157
 DL1888 ,1/6/20 21:43,ATL,1/6/20 23:56,JFK,Airbus A321,192
 DL0928 ,1/6/20 6:00,BOS,1/6/20 7:32,JFK,Airbus A319,132
 DL3022 ,1/6/20 17:10,BOS,1/6/20 18:40,JFK,Airbus A319,132
 DL1360 ,1/6/20 19:59,BOS,1/6/20 21:29,JFK,Airbus A220-100,109
 DL1520 ,1/6/20 6:00,IAD,1/6/20 7:57,ATL,Boeing 717-200,110
 DL0548 ,1/6/20 7:00,IAD,1/6/20 9:03,ATL,MD-88,149
 DL2578 ,1/6/20 9:54,IAD,1/6/20 11:47,ATL,Boeing 717-200,110
 DL0340 ,1/6/20 12:15,IAD,1/6/20 14:14,ATL,MD-88,149
 DL1317 ,1/6/20 15:18,IAD,1/6/20 17:10,ATL,Boeing 717-200,110
 DL1359 ,1/6/20 17:45,IAD,1/6/20 19:52,ATL,Boeing 717-200,110
 DL1442 ,1/6/20 19:46,IAD,1/6/20 21:45,ATL,Boeing 717-200,110
 DL2220 ,1/6/20 17:00,IAD,1/6/20 20:09,SEA,Airbus A319,
 DL2552 ,1/6/20 5:45,BOS,1/6/20 8:54,ATL,Boeing 737-900ER,180
 DL1501 ,1/6/20 7:00,BOS,1/6/20 10:05,ATL,Airbus A321,192
 DL2648 ,1/6/20 8:00,BOS,1/6/20 11:01,ATL,Boeing 757,199
 DL1880 ,1/6/20 9:25,BOS,1/6/20 12:25,ATL,Airbus A321,192
 DL0800 ,1/6/20 11:00,BOS,1/6/20 13:57,ATL,Airbus A321,192
 DL2749 ,1/6/20 12:22,BOS,1/6/20 15:21,ATL,Airbus A321,192
 DL1077 ,1/6/20 14:00,BOS,1/6/20 16:57,ATL,Airbus A321,192
 DL0123 ,1/6/20 15:55,BOS,1/6/20 18:56,ATL,Airbus A321,192
 DL1500 ,1/6/20 17:16,BOS,1/6/20 20:23,ATL,Boeing 757,199
 DL2643 ,1/6/20 18:44,BOS,1/6/20 21:45,ATL,Airbus A321,192
 DL2570 ,1/6/20 20:15,BOS,1/6/20 23:19,ATL,Airbus A321,192
 DL2991 ,1/6/20 6:40,BOS,1/6/20 10:19,SEA,Boeing 757-200,193
 DL2488 ,1/6/20 7:40,BOS,1/6/20 11:47,SFO,Boeing 757,199
 DL0977 ,1/6/20 5:30,ORD,1/6/20 8:29,ATL,Airbus A321,192
 DL1480 ,1/6/20 7:31,ORD,1/6/20 10:32,ATL,Boeing 717-200,110
 DL0475 ,1/6/20 8:17,ORD,1/6/20 11:19,ATL,Boeing 717-200,110
 DL2012 ,1/6/20 9:20,ORD,1/6/20 12:23,ATL,MD-88,149
 DL2183 ,1/6/20 10:28,ORD,1/6/20 13:28,ATL,Boeing 717-200,110
 DL0972 ,1/6/20 12:04,ORD,1/6/20 15:07,ATL,MD-90,158
 DL0812 ,1/6/20 13:10,ORD,1/6/20 16:07,ATL,MD-88,149
 DL2890 ,1/6/20 15:00,ORD,1/6/20 18:01,ATL,Boeing 717-200,110
 DL1612 ,1/6/20 16:55,ORD,1/6/20 19:56,ATL,MD-88,149
 DL1906 ,1/6/20 18:05,ORD,1/6/20 21:12,ATL,MD-88,149
 DL0805 ,1/6/20 19:53,ORD,1/6/20 22:55,ATL,Boeing 717-200,110
 DL0487 ,1/6/20 6:08,ORD,1/6/20 8:55,SEA,Airbus A319,
 DL3078 ,1/6/20 14:00,ORD,1/6/20 16:45,SEA,Airbus A319,
 DL1544 ,1/6/20 19:00,ORD,1/6/20 21:49,SEA,Airbus A319,
 DL1816 ,1/6/20 8:12,ATL,1/6/20 9:40,DEN,Boeing 737-900ER,180
 DL1547 ,1/6/20 9:55,ATL,1/6/20 11:21,DEN,Boeing 757,199
 DL2590 ,1/6/20 11:55,ATL,1/6/20 13:17,DEN,Boeing 737-900ER,180
 DL1355 ,1/6/20 13:16,ATL,1/6/20 14:38,DEN,Boeing 737-900ER,180
 DL0498 ,1/6/20 15:00,ATL,1/6/20 16:26,DEN,Airbus A319,
 DL0633 ,1/6/20 18:39,ATL,1/6/20 20:05,DEN,Boeing 737-900ER,180
 DL0776 ,1/6/20 21:14,ATL,1/6/20 22:39,DEN,Boeing 737-900ER,180
 DL0609 ,1/6/20 8:11,ATL,1/6/20 10:44,SEA,Boeing 757-200,193
 DL2680 ,1/6/20 10:20,ATL,1/6/20 13:00,SEA,Boeing 737-900ER,180
 DL1437 ,1/6/20 12:05,ATL,1/6/20 14:40,SEA,Boeing 757-200,193
 DL0342 ,1/6/20 14:03,ATL,1/6/20 16:43,SEA,Boeing 737-900ER,180
 DL1115 ,1/6/20 17:36,ATL,1/6/20 20:15,SEA,Boeing 757,199
 DL0763 ,1/6/20 19:10,ATL,1/6/20 21:51,SEA,Boeing 767-300,208
 DL1108 ,1/6/20 8:00,ATL,1/6/20 10:26,PHX,Airbus A321,192
 DL1041 ,1/6/20 11:07,ATL,1/6/20 13:32,PHX,Airbus A321,192
 DL2271 ,1/6/20 13:59,ATL,1/6/20 16:21,PHX,Airbus A321,192
 DL2046 ,1/6/20 15:40,ATL,1/6/20 17:59,PHX,Airbus A321,192
 DL2021 ,1/6/20 17:59,ATL,1/6/20 20:19,PHX,Airbus A321,192
 DL1057 ,1/6/20 20:00,ATL,1/6/20 22:20,PHX,Airbus A321,192
 DL2167 ,1/6/20 21:42,ATL,1/6/20 23:59,PHX,Airbus A321,192
 DL2049 ,1/6/20 8:10,ATL,1/6/20 10:44,SFO,Boeing 757-300,234
 DL0570 ,1/6/20 9:47,ATL,1/6/20 12:17,SFO,Boeing 737-900ER,180
 DL0856 ,1/6/20 10:49,ATL,1/6/20 13:23,SFO,Boeing 737-900ER,180
 DL2054 ,1/6/20 15:12,ATL,1/6/20 17:44,SFO,Boeing 737-900ER,180
 DL1191 ,1/6/20 17:57,ATL,1/6/20 20:30,SFO,Boeing 757,199
 DL2857 ,1/6/20 19:59,ATL,1/6/20 22:30,SFO,Boeing 737-900ER,180
 DL2266 ,1/6/20 21:22,ATL,1/6/20 23:59,SFO,Boeing 737-900ER,180
 DL1468 ,1/6/20 6:10,DEN,1/6/20 8:32,SEA,Boeing 737-800,160
 DL0888 ,1/6/20 12:25,DEN,1/6/20 14:26,SEA,Airbus A319,
 DL2764 ,1/6/20 14:25,DEN,1/6/20 16:23,SEA,Airbus A319,
 DL2867 ,1/6/20 19:52,DEN,1/6/20 21:59,SEA,Airbus A319,
 DL1190 ,1/6/20 7:34,SEA,1/6/20 11:29,PHX,Boeing 737-800,160
 DL1262 ,1/6/20 11:10,SEA,1/6/20 15:00,PHX,Boeing 737-800,160
 DL1562 ,1/6/20 15:15,SEA,1/6/20 19:04,PHX,Boeing 737-800,160
 DL2477 ,1/6/20 19:08,SEA,1/6/20 23:00,PHX,Boeing 737-800,160
 DL2490 ,1/6/20 7:24,SEA,1/6/20 9:46,SFO,Airbus A220-100,109
 DL2429 ,1/6/20 9:25,SEA,1/6/20 11:46,SFO,Airbus A319,
 DL1753 ,1/6/20 13:47,SEA,1/6/20 16:00,SFO,Airbus A220-100,109
 DL2984 ,1/6/20 15:18,SEA,1/6/20 17:29,SFO,Airbus A319,
 DL1832 ,1/6/20 17:00,SEA,1/6/20 19:19,SFO,Boeing 737-800,160
 DL2621 ,1/6/20 21:09,SEA,1/6/20 23:23,SFO,Boeing 737-800,160
